dataset;model;configuration;class_id;number_of_runs;precision_mean;precision_std;recall_mean;recall_std
citeseer;deepset;default;0;5;0,6958374958374958;0,23191800959945427;0,2849002849002849;0,15317199552724045
citeseer;deepset;default;1;5;0,6746323200681331;0,02959386447074782;0,7559322033898306;0,022739674347455517
citeseer;deepset;default;2;5;0,7525012301131705;0,05490224256726947;0,7611940298507462;0,05584563263841702
citeseer;deepset;default;3;5;0,773748704442624;0,03497180965869005;0,8285714285714286;0,056242913385798635
citeseer;deepset;default;4;5;0,8126408203823757;0,023694037296449096;0,8415819209039548;0,050824853732857805
citeseer;deepset;default;5;5;0,8211133626027243;0,04681127686434766;0,8117647058823529;0,026306682088232818
citeseer;janossy_gru;inference_permutations_1;0;5;0,5751190476190476;0,15553629517140447;0,30797720797720796;0,14345938776086176
citeseer;janossy_gru;inference_permutations_1;1;5;0,6715058737715394;0,0641724971884789;0,7389830508474576;0,03514651076835206
citeseer;janossy_gru;inference_permutations_1;2;5;0,7421265028143679;0,015594304927758252;0,764179104477612;0,06952725193344547
citeseer;janossy_gru;inference_permutations_1;3;5;0,7784842195455286;0,033461399594479566;0,8085714285714285;0,029623487647611035
citeseer;janossy_gru;inference_permutations_1;4;5;0,8287260346926354;0,047268263296109836;0,8449152542372881;0,07364596943186585
citeseer;janossy_gru;inference_permutations_1;5;5;0,8346498599439777;0,04043031915565235;0,8313725490196079;0,05816626264388756
citeseer;janossy_gru;inference_permutations_10;0;5;0,6008403361344538;0,12618435323271107;0,30056980056980054;0,13788997196957337
citeseer;janossy_gru;inference_permutations_10;1;5;0,6708178656767366;0,04501499672531393;0,7525423728813558;0,03901987943464864
citeseer;janossy_gru;inference_permutations_10;2;5;0,7480927671290903;0,015090411071578819;0,7970149253731342;0,054431589638240206
citeseer;janossy_gru;inference_permutations_10;3;5;0,7994151293223324;0,024157048869887066;0,8057142857142857;0,025951288749407084
citeseer;janossy_gru;inference_permutations_10;4;5;0,8170295307915356;0,015915529810298364;0,8448587570621469;0,07269317228209685
citeseer;janossy_gru;inference_permutations_10;5;5;0,8391330811703839;0,035925843283363894;0,8196078431372549;0,06706914265289046
citeseer;janossy_gru;inference_permutations_20;0;5;0,5994047619047619;0,096613945862631;0,3227920227920228;0,11408291104831683
citeseer;janossy_gru;inference_permutations_20;1;5;0,6711594936919925;0,03708633491741257;0,7525423728813558;0,03514651076835211
citeseer;janossy_gru;inference_permutations_20;2;5;0,7443122767850529;0,02215174237029416;0,782089552238806;0,03746238924779441
citeseer;janossy_gru;inference_permutations_20;3;5;0,7943361628017307;0,023362548025301792;0,8028571428571428;0,025555062599997614
citeseer;janossy_gru;inference_permutations_20;4;5;0,8234350110610945;0,027351671303499688;0,8415819209039548;0,06105336065706345
citeseer;janossy_gru;inference_permutations_20;5;5;0,8397058823529411;0,03834345369313546;0,8235294117647058;0,060435431401656615
citeseer;janossy_gru;inference_permutations_5;0;5;0,5401190476190476;0,15749509584561514;0,2931623931623931;0,1486963886086675
citeseer;janossy_gru;inference_permutations_5;1;5;0,6695659385314557;0,04824047234834481;0,7457627118644068;0,043212029776210054
citeseer;janossy_gru;inference_permutations_5;2;5;0,7460759890325107;0,04033056540857234;0,7791044776119402;0,05624311546691574
citeseer;janossy_gru;inference_permutations_5;3;5;0,7874058732298286;0,0343488877697468;0,8114285714285714;0,027479120088101914
citeseer;janossy_gru;inference_permutations_5;4;5;0,8107857215087471;0,03009960544829691;0,8381355932203389;0,07393794613961775
citeseer;janossy_gru;inference_permutations_5;5;5;0,8414339746503054;0,037818921349434646;0,8117647058823529;0,07015115223528752
citeseer;pointnet_plus;centroids_16_8;0;5;0,9095238095238095;0,1308441110860389;0,12763532763532764;0,06323085677779085
citeseer;pointnet_plus;centroids_16_8;1;5;0,6319338670203268;0,04296520862726208;0,7389830508474576;0,05027931177691974
citeseer;pointnet_plus;centroids_16_8;2;5;0,7704593950842766;0,03745264485793088;0,7522388059701492;0,08867731807470415
citeseer;pointnet_plus;centroids_16_8;3;5;0,7065728815829406;0,05780210303353136;0,8057142857142857;0,037252585172586554
citeseer;pointnet_plus;centroids_16_8;4;5;0,735244539101365;0,029811579114695372;0,8351977401129943;0,033247999553191146
