dataset;model;configuration;seed;test_accuracy;macro_f1;weighted_f1;test_loss;best_validation_accuracy;best_epoch;trainable_parameters;training_time_seconds;inference_time_seconds;inference_time_per_node_ms;degree_0_accuracy;degree_0_count;degree_1_2_accuracy;degree_1_2_count;degree_3_5_accuracy;degree_3_5_count;degree_6_10_accuracy;degree_6_10_count;degree_gt_10_accuracy;degree_gt_10_count;precision_per_class;recall_per_class;checkpoint
citeseer;deepset;default;42;0,756756782531738;0,72916636028992;0,751668299309074;0,839876353740692;0,819819867610931;26;981894;131,806106981006;0,19386278300226;0,582170519526305;0,5;8;0,74766355752945;214;0,756410241127014;78;0,909090936183929;22;0,818181812763214;11;"{""0"": 0.7692307692307693, ""1"": 0.6764705882352942, ""2"": 0.7142857142857143, ""3"": 0.8028169014084507, ""4"": 0.8070175438596491, ""5"": 0.7962962962962963}";"{""0"": 0.37037037037037035, ""1"": 0.7796610169491526, ""2"": 0.746268656716418, ""3"": 0.8142857142857143, ""4"": 0.7796610169491526, ""5"": 0.8431372549019608}";results/model_evaluation/citeseer/deepset/default/seed_42/deepset_citeseer.pt
citeseer;deepset;default;43;0,726726710796356;0,712752762439781;0,726724947949108;1,16929411888123;0,738738775253296;39;981894;131,491827683996;0,215378842003702;0,646783309320426;0,5;4;0,707317054271698;205;0,770114958286285;87;0,733333349227905;30;0,857142865657806;7;"{""0"": 0.6190476190476191, ""1"": 0.6285714285714286, ""2"": 0.6865671641791045, ""3"": 0.7222222222222222, ""4"": 0.8392857142857143, ""5"": 0.851063829787234}";"{""0"": 0.48148148148148145, ""1"": 0.7457627118644068, ""2"": 0.6865671641791045, ""3"": 0.7428571428571429, ""4"": 0.7966101694915254, ""5"": 0.7843137254901961}";results/model_evaluation/citeseer/deepset/default/seed_43/deepset_citeseer.pt
citeseer;deepset;default;44;0,768768787384033;0,697842595039463;0,747327663988671;0,81402450799942;0,747747778892517;21;981894;132,995040284004;0,19562977500027;0,587476801802614;0,25;4;0,730232536792755;215;0,844155848026276;77;0,870967745780945;31;1;6;"{""0"": 1.0, ""1"": 0.6865671641791045, ""2"": 0.746268656716418, ""3"": 0.7560975609756098, ""4"": 0.8153846153846154, ""5"": 0.8571428571428571}";"{""0"": 0.1111111111111111, ""1"": 0.7796610169491526, ""2"": 0.746268656716418, ""3"": 0.8857142857142857, ""4"": 0.8983050847457628, ""5"": 0.8235294117647058}";results/model_evaluation/citeseer/deepset/default/seed_44/deepset_citeseer.pt
citeseer;deepset;default;45;0,759759783744812;0,694560836956198;0,746811059671408;0,841103315353394;0,798798799514771;29;981894;132,780019499005;0,195743828997365;0,587819306298394;0,400000005960465;5;0,756521761417389;230;0,786666691303253;75;0,789473712444305;19;0,75;4;"{""0"": 0.36363636363636365, ""1"": 0.7096774193548387, ""2"": 0.8153846153846154, ""3"": 0.8055555555555556, ""4"": 0.7761194029850746, ""5"": 0.75}";"{""0"": 0.15384615384615385, ""1"": 0.7457627118644068, ""2"": 0.7910447761194029, ""3"": 0.8285714285714286, ""4"": 0.8666666666666667, ""5"": 0.8235294117647058}";results/model_evaluation/citeseer/deepset/default/seed_45/deepset_citeseer.pt
citeseer;deepset;default;46;0,780780792236328;0,739219497116443;0,7727809653823;0,723959624767304;0,774774789810181;24;981894;133,957203530001;0,19117864400323;0,574110042051742;0,625;8;0,770334899425507;209;0,821428596973419;84;0,793103456497192;29;0,666666686534882;3;"{""0"": 0.7272727272727273, ""1"": 0.671875, ""2"": 0.8, ""3"": 0.782051282051282, ""4"": 0.8253968253968254, ""5"": 0.851063829787234}";"{""0"": 0.3076923076923077, ""1"": 0.7288135593220338, ""2"": 0.835820895522388, ""3"": 0.8714285714285714, ""4"": 0.8666666666666667, ""5"": 0.7843137254901961}";results/model_evaluation/citeseer/deepset/default/seed_46/deepset_citeseer.pt
citeseer;janossy_gru;inference_permutations_1;42;0,744744718074799;0,717711240400013;0,740923829363819;0,843344628810883;0,816816806793213;41;1064454;211,666412054998;0,268232930000522;0,805504294295862;0,25;8;0,738317728042603;214;0,756410241127014;78;0,909090936183929;22;0,818181812763214;11;"{""0"": 0.55, ""1"": 0.6949152542372882, ""2"": 0.7611940298507462, ""3"": 0.7605633802816901, ""4"": 0.75, ""5"": 0.8214285714285714}";"{""0"": 0.4074074074074074, ""1"": 0.6949152542372882, ""2"": 0.7611940298507462, ""3"": 0.7714285714285715, ""4"": 0.7627118644067796, ""5"": 0.9019607843137255}";results/model_evaluation/citeseer/janossy_gru/inference_permutations_1/seed_42/janossy_gru_citeseer.pt
citeseer;janossy_gru;inference_permutations_1;43;0,717717707157135;0,663614790033921;0,708585227514928;0,883958220481873;0,753753781318665;38;1064454;221,261406769998;0,271975625997584;0,816743621614366;0,5;4;0,707317054271698;205;0,747126460075378;87;0,699999988079071;30;0,857142865657806;7;"{""0"": 0.3333333333333333, ""1"": 0.5609756097560976, ""2"": 0.7333333333333333, ""3"": 0.76, ""4"": 0.8679245283018868, ""5"": 0.8235294117647058}";"{""0"": 0.14814814814814814, ""1"": 0.7796610169491526, ""2"": 0.6567164179104478, ""3"": 0.8142857142857143, ""4"": 0.7796610169491526, ""5"": 0.8235294117647058}";results/model_evaluation/citeseer/janossy_gru/inference_permutations_1/seed_43/janossy_gru_citeseer.pt
citeseer;janossy_gru;inference_permutations_1;44;0,777777791023254;0,751377040366297;0,772946125184586;0,73872572183609;0,756756782531738;36;1064454;223,667873148996;0,275053135999769;0,825985393392701;0,25;4;0,762790679931641;215;0,818181812763214;77;0,838709652423859;31;0,833333313465118;6;"{""0"": 0.7333333333333333, ""1"": 0.6984126984126984, ""2"": 0.7222222222222222, ""3"": 0.8088235294117647, ""4"": 0.859375, ""5"": 0.8235294117647058}";"{""0"": 0.4074074074074074, ""1"": 0.7457627118644068, ""2"": 0.7761194029850746, ""3"": 0.7857142857142857, ""4"": 0.9322033898305084, ""5"": 0.8235294117647058}";results/model_evaluation/citeseer/janossy_gru/inference_permutations_1/seed_44/janossy_gru_citeseer.pt
citeseer;janossy_gru;inference_permutations_1;45;0,762762784957886;0,700161635744884;0,747120251873701;0,733838438987732;0,795795798301697;31;1064454;227,556284860999;0,275088739996136;0,826092312300708;0,600000023841858;5;0,756521761417389;230;0,786666691303253;75;0,789473712444305;19;0,75;4;"{""0"": 0.5714285714285714, ""1"": 0.7258064516129032, ""2"": 0.7536231884057971, ""3"": 0.7435897435897436, ""4"": 0.8225806451612904, ""5"": 0.8}";"{""0"": 0.15384615384615385, ""1"": 0.7627118644067796, ""2"": 0.7761194029850746, ""3"": 0.8285714285714286, ""4"": 0.85, ""5"": 0.8627450980392157}";results/model_evaluation/citeseer/janossy_gru/inference_permutations_1/seed_45/janossy_gru_citeseer.pt
citeseer;janossy_gru;inference_permutations_1;46;0,783783793449402;0,754808170835493;0,779951621402821;0,699290692806244;0,777777791023254;32;1064454;227,148348325005;0,266772820999904;0,801119582582295;0,75;8;0,775119602680206;209;0,809523820877075;84;0,793103456497192;29;0,666666686534882;3;"{""0"": 0.6875, ""1"": 0.6774193548387096, ""2"": 0.7402597402597403, ""3"": 0.8194444444444444, ""4"": 0.84375, ""5"": 0.9047619047619048}";"{""0"": 0.4230769230769231, ""1"": 0.711864406779661, ""2"": 0.8507462686567164, ""3"": 0.8428571428571429, ""4"": 0.9, ""5"": 0.7450980392156863}";results/model_evaluation/citeseer/janossy_gru/inference_permutations_1/seed_46/janossy_gru_citeseer.pt
citeseer;janossy_gru;inference_permutations_10;42;0,750750780105591;0,719895918210934;0,746306817178438;0,77366578578949;0,816816806793213;38;1064454;346,318783927003;2,71842354800174;8,1634340780833;0,25;8;0,752336442470551;214;0,756410241127014;78;0,863636374473572;22;0,818181812763214;11;"{""0"": 0.5555555555555556, ""1"": 0.6825396825396826, ""2"": 0.7464788732394366, ""3"": 0.782608695652174, ""4"": 0.7894736842105263, ""5"": 0.8181818181818182}";"{""0"": 0.37037037037037035, ""1"": 0.7288135593220338, ""2"": 0.7910447761194029, ""3"": 0.7714285714285715, ""4"": 0.7627118644067796, ""5"": 0.8823529411764706}";results/model_evaluation/citeseer/janossy_gru/inference_permutations_10/seed_42/janossy_gru_citeseer.pt
