sigma,distance,k,epsilon,validation_accuracy_mean,validation_macro_f1_mean,test_accuracy_mean,test_macro_f1_mean,flip_rate_mean,class_one_rate_mean,validation_similarity_score_mean,test_similarity_score_mean
1.0,1.0,10,0.21,0.8548548548548549,0.8546505062919886,0.856856856856857,0.8567203876685928,0.15840096275011697,0.5102695027987162,0.05504877356151916,0.07956858076733449
1.5,1.0,3,0.05,0.8548548548548549,0.8546363846619146,0.8378378378378378,0.8376701106464588,0.0,0.5067628423372904,0.07139060736648446,0.12220058259719335
1.5,1.0,3,0.11,0.8548548548548549,0.8546363846619146,0.8378378378378378,0.8376701106464588,0.0,0.5067628423372904,0.07139060736648446,0.12220058259719335
1.5,1.0,5,0.05,0.8518518518518517,0.8516304000049956,0.8318318318318317,0.8316523111268305,0.0,0.5067628423372904,0.08340858268632863,0.12217052972090248
1.0,1.0,5,0.21,0.8688688688688689,0.8688241597060685,0.8708708708708709,0.8708418259153174,0.11772367358207703,0.5060615142186483,0.11537864889106038,0.12622987567920207
1.0,1.0,5,0.11,0.8688688688688689,0.8688241597060685,0.8708708708708709,0.8708418259153174,0.11772367358207703,0.5060615142186483,0.11537864889106038,0.12622987567920207
1.0,1.0,10,0.11,0.9029029029029029,0.9028160911770103,0.8788788788788788,0.8788202909282936,0.09017132471005122,0.5077647566795349,0.1379658199334396,0.15820282172117037
1.5,2.0,3,0.21,0.918918918918919,0.9188958253941816,0.9119119119119118,0.9118433457058083,0.09167418132225673,0.5122733314832052,0.20215732039981427,0.2903149973422659
1.0,1.0,10,0.05,0.9269269269269268,0.9268862329414099,0.9219219219219218,0.9218965055445915,0.030257488911350567,0.5085662802060446,0.23415415151028685,0.3304413370398522
1.5,1.0,10,0.05,0.8008008008008008,0.8003606610286879,0.8248248248248248,0.8247708154611059,0.0663260171810786,0.5035567680994669,0.27114924456740946,0.08363213904224591
1.0,1.0,5,0.05,0.93993993993994,0.9399090449646281,0.934934934934935,0.9349018294435559,0.0,0.5067628423372904,0.2862258015827493,0.38247801086380706
1.0,1.0,3,0.11,0.9419419419419418,0.9419150234635997,0.9379379379379379,0.9379094564588123,0.0,0.5067628423372904,0.2942417625846963,0.3944992709003259
1.0,1.0,3,0.05,0.9419419419419418,0.9419150234635997,0.9379379379379379,0.9379094564588123,0.0,0.5067628423372904,0.2942417625846963,0.3944992709003259
1.5,2.0,5,0.11,0.9459459459459459,0.9459423343100641,0.9429429429429429,0.9428919613657767,0.04548642411828041,0.507564385732015,0.31030439228563333,0.4144742907242646
1.5,2.0,5,0.21,0.9459459459459459,0.9459423343100641,0.9429429429429429,0.9428919613657767,0.04548642411828041,0.507564385732015,0.31030439228563333,0.4144742907242646
1.0,1.0,3,0.21,0.7877877877877878,0.7875924439879262,0.7907907907907908,0.7907331745441829,0.2215208907922109,0.5114717880884806,0.3227117046749587,0.19414758722322734
1.5,2.0,10,0.21,0.95995995995996,0.9599422534755284,0.9429429429429429,0.9428803692738531,0.05911231289307276,0.5085662802060446,0.36633225864459007,0.4144511065404175
1.5,1.0,10,0.11,0.7757757757757758,0.7757561849015824,0.7667667667667667,0.7666781438237189,0.2089970906575521,0.4969441890716553,0.37040824687167034,0.2903056967122032
1.5,2.0,10,0.11,0.9629629629629629,0.9629578332217363,0.963963963963964,0.9639489697567819,0.0295561570674181,0.5074641704559326,0.378369424143012,0.49863034954831714
1.5,2.0,10,0.05,0.968968968968969,0.9689654660017131,0.960960960960961,0.9609384367938579,0.00851618063946565,0.5074641903241476,0.4023967017149774,0.486603277616463
1.5,2.0,5,0.05,0.9779779779779781,0.9779698866956572,0.980980980980981,0.9809765013871844,0.0,0.5067628423372904,0.4384235611208836,0.5667194468431562
1.5,2.0,3,0.05,0.978978978978979,0.9789716101851077,0.9779779779779781,0.9779734260054201,0.0,0.5067628423372904,0.4424290101017864,0.5547072900736217
1.5,2.0,3,0.11,0.978978978978979,0.9789716101851077,0.9779779779779781,0.9779734260054201,0.0,0.5067628423372904,0.4424290101017864,0.5547072900736217
1.5,3.0,3,0.21,0.990990990990991,0.9909898531819724,0.994994994994995,0.9949943991337071,0.008015229056278864,0.5075643658638,0.4904895201195399,0.6227832703642298
1.0,2.0,3,0.21,0.990990990990991,0.9909898531819724,0.994994994994995,0.9949943991337071,0.008015229056278864,0.5075643658638,0.4904895201195399,0.6227832703642298
0.5,1.0,3,0.21,0.990990990990991,0.9909898531819724,0.994994994994995,0.9949943991337071,0.008015229056278864,0.5075643658638,0.4904895201195399,0.6227832703642298
1.0,2.0,10,0.21,0.9929929929929929,0.9929907892889541,0.9939939939939939,0.9939933980857908,0.004007614450529218,0.5065624713897705,0.49849539633750756,0.618779266266395
